"","pid","year","occ_change","Length.of.time.within.firm"
"83",14803,2007,"No",19.1669998168945
"84",14803,2020,"No",32.1669998168945
"85",14803,2013,"Yes",25.0830001831055
"86",14803,2016,"No",28.0830001831055
"87",14803,2008,"Yes",20.0830001831055
"88",14803,2004,"Yes",16.0830001831055
"89",14803,2011,"No",23.1669998168945
"90",14803,2006,"Yes",18.1669998168945
"91",14803,2001,"Yes",13
"92",16201,2019,"No",NA
"93",16201,2002,"Yes",4.5
"94",16201,2010,"No",12.5830001831055
"95",16201,2014,"No",16.5830001831055
"96",16201,2012,"Yes",14.5830001831055
"97",16201,2009,"Yes",11.5830001831055
"98",16201,2015,"No",17.5830001831055
"99",16201,2017,"No",19.5830001831055
"100",16201,2003,"Yes",5.5
"101",16201,2005,"No",7.58300018310547
"102",16201,2007,"No",9.58300018310547
"103",16201,2020,"No",22.5830001831055
"104",16201,2013,"Yes",15.6669998168945
"105",16201,2016,"No",18.5830001831055
"106",16201,2008,"Yes",10.5830001831055
"107",16201,2004,"Yes",6.5
"108",16201,2011,"No",13.5830001831055
"109",16201,2006,"Yes",8.58300018310547
"110",16201,2001,"Yes",3.5
"111",18701,2019,"No",NA
"112",18701,2002,"Yes",3.75
"113",18701,2010,"No",12
"114",18701,2014,"No",15.8330001831055
"115",18701,2012,"Yes",13.9169998168945
"116",18701,2009,"Yes",10.8330001831055
"117",18701,2015,"No",16.9169998168945
"118",18701,2017,"No",18.8330001831055
"119",18701,2003,"Yes",4.75
"120",18701,2005,"No",6.91699981689453
"121",18701,2007,"No",8.83300018310547
"122",18701,2020,"No",21.9169998168945
"123",18701,2013,"Yes",14.8330001831055
"124",18701,2016,"No",17.8330001831055
"125",18701,2008,"Yes",9.83300018310547
"126",18701,2004,"Yes",5.75
"127",18701,2011,"No",13
"128",18701,2006,"Yes",7.83300018310547
"129",18701,2001,"Yes",2.75
"130",18802,2002,"No",NA
"131",18802,2003,"No",22.1669998168945
"132",18802,2005,"No",24.5
"133",18802,2007,"No",26.25
"134",18802,2008,"No",27.25
"135",18802,2004,"Yes",23.3330001831055
"136",18802,2006,"No",25.3330001831055
"137",18802,2001,"Yes",20.25
"138",19201,2019,"No",NA
"139",19201,2002,"Yes",12.1669998168945
"140",19201,2010,"No",20.3330001831055
"141",19201,2014,"No",24.25
"142",19201,2012,"Yes",22.25
"143",19201,2009,"Yes",19.5830001831055
"144",19201,2015,"No",25.3330001831055
"145",19201,2017,"No",27.25
"146",19201,2003,"Yes",13.5830001831055
"147",19201,2005,"No",15.5
"148",19201,2007,"No",17.5
"149",19201,2020,"No",30.25
"150",19201,2013,"Yes",23.25
"151",19201,2016,"No",26.25
"152",19201,2008,"Yes",18.5830001831055
"153",19201,2004,"Yes",14.5
"154",19201,2011,"No",21.3330001831055
"155",19201,2006,"Yes",16.3330001831055
"156",19201,2001,"Yes",11.1669998168945
"157",22301,2019,"Yes",NA
"158",22301,2002,"Yes",4.5
"159",22301,2014,"Yes",3.83299994468689
"160",22301,2012,"Yes",1.83299994468689
"161",22301,2009,"No",3.08299994468689
"162",22301,2015,"No",4.83300018310547
"163",22301,2017,"No",6.75
"164",22301,2003,"Yes",5.5
"165",22301,2007,"Yes",1.08299994468689
"166",22301,2020,"No",9.5
"167",22301,2013,"Yes",2.58299994468689
"168",22301,2016,"No",5.58300018310547
"169",22301,2008,"Yes",2.08299994468689
"170",22301,2011,"Yes",0.916999995708466
"171",22301,2006,"Yes",0.25
"172",22301,2001,"No",3.5
"173",22503,2019,"No",NA
"174",22503,2002,"Yes",19.6669998168945
"175",22503,2010,"No",27.8330001831055
"176",22503,2014,"No",31.8330001831055
"177",22503,2012,"Yes",29.8330001831055
"178",22503,2009,"Yes",27
"179",22503,2015,"No",32.8330001831055
"180",22503,2017,"No",34.5830001831055
"181",22503,2003,"Yes",20.6669998168945
"182",22503,2005,"No",22.8330001831055
"183",22503,2007,"No",25
"184",22503,2020,"No",37.5
"185",22503,2013,"Yes",30.75
"186",22503,2016,"No",33.5830001831055
"187",22503,2008,"Yes",25.9169998168945
"188",22503,2004,"Yes",22
"189",22503,2011,"No",28.9169998168945
"190",22503,2006,"Yes",24.0830001831055
"191",22503,2001,"Yes",18.5830001831055
"192",22601,2019,"No",NA
"193",22601,2002,"Yes",14.3330001831055
"194",22601,2010,"No",22.1669998168945
"195",22601,2014,"No",26.25
"196",22601,2012,"Yes",24.1669998168945
"197",22601,2009,"Yes",21.1669998168945
"198",22601,2015,"No",27.25
"199",22601,2017,"No",29.1669998168945
"200",22601,2003,"Yes",15.25
"201",22601,2005,"No",17.5
"202",22601,2007,"No",19.5830001831055
"203",22601,2020,"No",32.1669998168945
"204",22601,2013,"Yes",25.1669998168945
"205",22601,2016,"No",28.1669998168945
"206",22601,2008,"Yes",20.1669998168945
"207",22601,2004,"Yes",16.6669998168945
"208",22601,2011,"No",23.1669998168945
"209",22601,2006,"Yes",18.75
"210",22601,2001,"Yes",13.25
"211",22602,2019,"Yes",NA
"212",22602,2002,"Yes",3.16700005531311
"213",22602,2010,"No",11
"214",22602,2014,"Yes",2.08299994468689
"215",22602,2012,"No",13
"216",22602,2009,"Yes",10
"217",22602,2015,"Yes",3.16700005531311
"218",22602,2017,"No",5.08300018310547
"219",22602,2003,"Yes",4.08300018310547
"220",22602,2005,"No",6.33300018310547
"221",22602,2007,"No",8.41699981689453
"222",22602,2020,"Yes",8.08300018310547
"223",22602,2013,"Yes",1.08299994468689
"224",22602,2016,"No",4.08300018310547
"225",22602,2008,"No",9
"226",22602,2004,"Yes",5.5
"227",22602,2011,"No",12
"228",22602,2006,"Yes",7.58300018310547
"229",22602,2001,"Yes",2.08299994468689
"230",27404,2019,"No",NA
"231",27404,2002,"Yes",7.25
"232",27404,2010,"No",15.25
"233",27404,2014,"No",19.3330001831055
"234",27404,2012,"Yes",17.25
"235",27404,2009,"Yes",14.25
"236",27404,2015,"No",20.4169998168945
"237",27404,2017,"No",22.3330001831055
"238",27404,2003,"Yes",8.25
"239",27404,2005,"No",10.25
"240",27404,2007,"No",12.25
"241",27404,2020,"No",25.3330001831055
"242",27404,2013,"Yes",18.3330001831055
"243",27404,2016,"No",21.4169998168945
"244",27404,2008,"Yes",13.25
"245",27404,2004,"Yes",9.25
"246",27404,2011,"No",16.25
"247",27404,2006,"Yes",11.25
"248",27404,2001,"Yes",6.25
"249",27702,2001,"No",NA
"250",28901,2019,"No",NA
"251",28901,2002,"Yes",20.4169998168945
"252",28901,2010,"No",28.8330001831055
"253",28901,2014,"No",32.5830001831055
"254",28901,2012,"Yes",30.5830001831055
"255",28901,2009,"Yes",27.5
"256",28901,2015,"No",33.75
"257",28901,2017,"No",35.5
"258",28901,2003,"Yes",21.5830001831055
"259",28901,2005,"No",23.5830001831055
"260",28901,2007,"No",25.5
"261",28901,2020,"No",38.4169998168945
"262",28901,2013,"Yes",31.9169998168945
"263",28901,2016,"No",34.5830001831055
"264",28901,2008,"Yes",26.8330001831055
"265",28901,2004,"Yes",22.75
"266",28901,2011,"No",29.5
"267",28901,2006,"Yes",24.6669998168945
"268",28901,2001,"Yes",19.6669998168945
"269",29401,2019,"No",NA
"270",29401,2002,"Yes",23.8330001831055
"271",29401,2010,"No",32
"272",29401,2014,"No",35.9169998168945
"273",29401,2012,"Yes",34.0830001831055
"274",29401,2009,"Yes",31.0830001831055
"275",29401,2015,"No",37.0830001831055
"276",29401,2017,"No",38.75
"277",29401,2003,"Yes",24.8330001831055
"278",29401,2005,"No",26.8330001831055
"279",29401,2007,"No",28.9169998168945
"280",29401,2013,"No",35.0830001831055
"281",29401,2016,"No",37.75
"282",29401,2008,"Yes",30
"283",29401,2004,"Yes",25.75
"284",29401,2011,"No",32.9169998168945
"285",29401,2006,"Yes",27.8330001831055
"286",29401,2001,"Yes",22.6669998168945
"287",29402,2019,"Yes",NA
"288",29402,2002,"Yes",0.75
"289",29402,2010,"No",1.91700005531311
"290",29402,2014,"No",5.83300018310547
"291",29402,2012,"Yes",4
"292",29402,2009,"Yes",1
"293",29402,2015,"No",7
"294",29402,2017,"No",8.66699981689453
"295",29402,2007,"Yes",1.33299994468689
"296",29402,2020,"No",11.6669998168945
"297",29402,2013,"Yes",5
"298",29402,2016,"No",7.66699981689453
"299",29402,2008,"Yes",2.41700005531311
"300",29402,2011,"No",2.83299994468689
"301",29402,2006,"Yes",0.25
"302",29402,2001,"No",4.16699981689453
"303",32001,2002,"No",NA
"304",32001,2010,"Yes",0.5
"305",32001,2012,"Yes",0.25
"306",32001,2009,"No",12.6669998168945
"307",32001,2003,"Yes",6.58300018310547
"308",32001,2005,"No",8.66699981689453
"309",32001,2007,"No",10.6669998168945
"310",32001,2013,"Yes",1.25
"311",32001,2008,"No",11.75
"312",32001,2004,"Yes",7.66699981689453
"313",32001,2006,"No",9.66699981689453
"314",32001,2001,"Yes",4.66699981689453
"315",32002,2002,"Yes",NA
"316",32002,2003,"No",2.83299994468689
"317",32002,2005,"No",4.91699981689453
"318",32002,2007,"No",6.91699981689453
"319",32002,2008,"No",8
"320",32002,2004,"Yes",3.91700005531311
"321",32002,2006,"No",5.91699981689453
"322",32002,2001,"Yes",0.916999995708466
"323",36701,2002,"Yes",NA
"324",36701,2010,"No",8.66699981689453
"325",36701,2014,"No",12.6669998168945
"326",36701,2012,"Yes",10.6669998168945
"327",36701,2009,"Yes",7.66699981689453
"328",36701,2003,"Yes",1.58299994468689
"329",36701,2005,"No",3.66700005531311
"330",36701,2007,"No",5.66699981689453
"331",36701,2013,"No",11.6669998168945
"332",36701,2008,"Yes",6.66699981689453
"333",36701,2004,"Yes",2.58299994468689
"334",36701,2011,"No",9.66699981689453
"335",36701,2006,"Yes",4.66699981689453
"336",36701,2001,"Yes",3.33299994468689
"337",43701,2002,"Yes",NA
"338",43701,2001,"Yes",0.333000004291534
"339",43702,2019,"No",NA
"340",43702,2002,"Yes",1.33299994468689
"341",43702,2010,"No",9.75
"342",43702,2014,"No",13.4169998168945
"343",43702,2012,"Yes",11.5
"344",43702,2009,"Yes",8.66699981689453
"345",43702,2015,"No",14.75
"346",43702,2017,"No",16.3330001831055
"347",43702,2003,"Yes",2.66700005531311
"348",43702,2005,"No",4.83300018310547
"349",43702,2007,"No",6.41699981689453
"350",43702,2020,"No",19.4169998168945
"351",43702,2013,"Yes",12.3330001831055
"352",43702,2016,"No",15.3330001831055
"353",43702,2008,"Yes",7.75
"354",43702,2004,"Yes",3.75
"355",43702,2011,"No",10.4169998168945
"356",43702,2006,"Yes",5.75
"357",43702,2001,"Yes",0.5
"358",47302,2019,"No",NA
"359",47302,2002,"Yes",18.75
"360",47302,2010,"No",26.8330001831055
"361",47302,2014,"No",31
"362",47302,2012,"Yes",28.9169998168945
"363",47302,2009,"Yes",25.8330001831055
"364",47302,2015,"No",32.0830001831055
"365",47302,2017,"No",33.9169998168945
"366",47302,2003,"Yes",19.8330001831055
"367",47302,2005,"No",21.9169998168945
"368",47302,2007,"No",23.8330001831055
"369",47302,2020,"No",36.8330001831055
"370",47302,2013,"Yes",29.9169998168945
"371",47302,2016,"No",33
"372",47302,2008,"Yes",24.8330001831055
"373",47302,2004,"Yes",20.9169998168945
"374",47302,2011,"No",28
"375",47302,2006,"Yes",22.8330001831055
"376",47302,2001,"Yes",17.8330001831055
"377",49103,2019,"No",NA
"378",49103,2002,"Yes",14.25
"379",49103,2010,"No",22.4169998168945
"380",49103,2014,"No",26.25
"381",49103,2012,"Yes",24.25
"382",49103,2009,"Yes",21.3330001831055
"383",49103,2015,"No",27.3330001831055
"384",49103,2017,"No",29.25
"385",49103,2003,"Yes",15.25
"386",49103,2005,"No",17.3330001831055
"387",49103,2007,"No",19.5
"388",49103,2020,"No",32.25
"389",49103,2013,"Yes",25.25
"390",49103,2016,"No",28.25
"391",49103,2008,"Yes",20.25
"392",49103,2004,"Yes",16.1669998168945
"393",49103,2011,"No",23.25
"394",49103,2006,"Yes",18.25
"395",49103,2001,"Yes",13.1669998168945
"396",49403,2019,"Yes",NA
"397",49403,2010,"Yes",3.75
"398",49403,2014,"Yes",3.25
"399",49403,2012,"Yes",1.25
"400",49403,2009,"No",2.75
"401",49403,2015,"No",4.33300018310547
"402",49403,2017,"No",6.33300018310547
"403",49403,2003,"Yes",1.08299994468689
"404",49403,2005,"Yes",1
"405",49403,2007,"Yes",0.833000004291534
"406",49403,2020,"No",1.16700005531311
"407",49403,2013,"No",2.41700005531311
"408",49403,2016,"No",5.25
"409",49403,2008,"Yes",1.83299994468689
"410",49403,2011,"Yes",0.333000004291534
"411",49403,2006,"No",2
"412",51202,2019,"Yes",NA
"413",51202,2002,"Yes",1.16700005531311
"414",51202,2010,"No",9.25
"415",51202,2014,"No",13.25
"416",51202,2012,"Yes",11.25
"417",51202,2009,"Yes",8.33300018310547
"418",51202,2015,"No",14.3330001831055
"419",51202,2017,"Yes",0.75
"420",51202,2003,"No",2.25
"421",51202,2005,"No",4.33300018310547
"422",51202,2007,"No",6.25
"423",51202,2020,"Yes",2.58299994468689
"424",51202,2013,"No",12.3330001831055
"425",51202,2008,"Yes",7.33300018310547
"426",51202,2004,"Yes",3.25
"427",51202,2011,"No",10.4169998168945
"428",51202,2006,"Yes",5.25
"429",51202,2001,"Yes",0.25
"430",52103,2019,"No",NA
"431",52103,2002,"Yes",4.08300018310547
"432",52103,2010,"No",11.5830001831055
"433",52103,2014,"No",15.5830001831055
"434",52103,2012,"Yes",13.5830001831055
"435",52103,2009,"Yes",10.5830001831055
"436",52103,2015,"No",16.5
"437",52103,2017,"No",18.5830001831055
"438",52103,2003,"Yes",4.75
"439",52103,2005,"No",6.91699981689453
"440",52103,2007,"No",9.25
"441",52103,2020,"No",21.5830001831055
"442",52103,2013,"Yes",14.5830001831055
"443",52103,2016,"No",17.5
"444",52103,2008,"Yes",9.58300018310547
"445",52103,2004,"Yes",5.83300018310547
"446",52103,2011,"No",12.5830001831055
"447",52103,2006,"Yes",7.75
"448",52103,2001,"Yes",2.91700005531311
"449",52401,2019,"No",NA
"450",52401,2002,"No",28.8330001831055
"451",52401,2010,"Yes",6.08300018310547
"452",52401,2014,"No",10.0830001831055
"453",52401,2012,"Yes",8.16699981689453
"454",52401,2009,"Yes",5.08300018310547
"455",52401,2015,"No",11.1669998168945
"456",52401,2017,"No",13.1669998168945
"457",52401,2003,"No",29.75
"458",52401,2005,"Yes",1.16700005531311
"459",52401,2007,"No",3.16700005531311
"460",52401,2020,"No",16.0830001831055
"461",52401,2013,"Yes",9.33300018310547
"462",52401,2016,"No",12.0830001831055
"463",52401,2008,"Yes",4.25
"464",52401,2011,"No",7.25
"465",52401,2006,"Yes",2.16700005531311
"466",52401,2001,"No",27.75
"467",52402,2019,"Yes",NA
"468",52402,2002,"Yes",2.25
"469",52402,2010,"No",10.25
"470",52402,2014,"No",14.25
"471",52402,2012,"Yes",12.3330001831055
"472",52402,2009,"Yes",9.33300018310547
"473",52402,2015,"No",15.25
"474",52402,2017,"No",17.25
"475",52402,2003,"Yes",3.16700005531311
"476",52402,2005,"No",5.33300018310547
"477",52402,2007,"No",7.25
"478",52402,2020,"No",20.3330001831055
"479",52402,2013,"Yes",13.25
"480",52402,2016,"No",16.25
"481",52402,2008,"Yes",8.25
"482",52402,2004,"Yes",4.25
"483",52402,2011,"No",11.25
"484",52402,2006,"Yes",6.33300018310547
"485",52402,2001,"Yes",1.16700005531311
"486",55003,2019,"No",NA
"487",55003,2002,"Yes",0.416999995708466
"488",55003,2010,"No",8.5
"489",55003,2014,"No",12.5
"490",55003,2012,"Yes",10.5
"491",55003,2009,"Yes",7.41699981689453
"492",55003,2015,"No",13.5830001831055
"493",55003,2017,"No",15.4169998168945
"494",55003,2003,"Yes",1.33299994468689
"495",55003,2005,"No",3.41700005531311
"496",55003,2007,"No",5.41699981689453
"497",55003,2020,"No",18.5
"498",55003,2013,"Yes",11.4169998168945
"499",55003,2016,"No",14.4169998168945
"500",55003,2008,"Yes",6.41699981689453
"501",55003,2004,"Yes",2.33299994468689
"502",55003,2011,"No",9.41699981689453
"503",55003,2006,"Yes",4.41699981689453
"504",55003,2001,"Yes",2.41700005531311
"505",55903,2019,"No",NA
"506",55903,2002,"Yes",2.16700005531311
"507",55903,2010,"No",10.25
"508",55903,2014,"No",14.25
"509",55903,2012,"Yes",12.25
"510",55903,2009,"Yes",9.25
"511",55903,2015,"No",15.25
"512",55903,2017,"No",17.25
"513",55903,2003,"Yes",3.16700005531311
"514",55903,2005,"No",5.25
"515",55903,2007,"No",7.25
"516",55903,2020,"No",20.25
"517",55903,2013,"Yes",13.25
"518",55903,2016,"No",16.25
"519",55903,2008,"Yes",8.25
"520",55903,2004,"Yes",4.25
"521",55903,2011,"No",11.25
"522",55903,2006,"Yes",6.16699981689453
"523",55903,2001,"Yes",1.16700005531311
"524",56202,2002,"No",NA
"525",56202,2010,"No",41
"526",56202,2014,"No",44.8330001831055
"527",56202,2012,"Yes",42.8330001831055
"528",56202,2009,"Yes",39.8330001831055
"529",56202,2003,"Yes",33.8330001831055
"530",56202,2005,"No",35.8330001831055
"531",56202,2007,"No",37.8330001831055
"532",56202,2013,"No",43.8330001831055
"533",56202,2008,"Yes",38.9169998168945
"534",56202,2004,"Yes",34.8330001831055
"535",56202,2011,"No",41.9169998168945
"536",56202,2006,"Yes",36.8330001831055
"537",56202,2001,"Yes",31.8330001831055
"538",57203,2002,"Yes",NA
"539",57203,2009,"No",20.9169998168945
"540",57203,2003,"Yes",14.8330001831055
"541",57203,2005,"No",16.9169998168945
"542",57203,2007,"No",18.9169998168945
"543",57203,2008,"No",19.9169998168945
"544",57203,2004,"Yes",15.8330001831055
"545",57203,2006,"No",18
"546",57203,2001,"Yes",12.9169998168945
"547",57204,2019,"Yes",NA
"548",57204,2002,"No",17.3330001831055
"549",57204,2010,"No",25.4169998168945
"550",57204,2014,"No",29.3330001831055
"551",57204,2012,"Yes",27.4169998168945
"552",57204,2009,"Yes",24.4169998168945
"553",57204,2015,"No",30.5
"554",57204,2017,"No",32.4169998168945
"555",57204,2003,"Yes",18.3330001831055
"556",57204,2005,"No",20.4169998168945
"557",57204,2007,"No",22.4169998168945
"558",57204,2020,"Yes",1.75
"559",57204,2013,"No",28.4169998168945
"560",57204,2016,"No",31.3330001831055
"561",57204,2008,"Yes",23.4169998168945
"562",57204,2004,"Yes",19.3330001831055
"563",57204,2011,"No",26.5
"564",57204,2006,"Yes",21.4169998168945
"565",57204,2001,"Yes",16.3330001831055
"566",57404,2019,"Yes",NA
"567",57404,2010,"No",7.91699981689453
"568",57404,2014,"No",12
"569",57404,2012,"Yes",10
"570",57404,2009,"Yes",7.08300018310547
"571",57404,2015,"Yes",0.25
"572",57404,2017,"No",2.16700005531311
"573",57404,2003,"Yes",0.833000004291534
"574",57404,2005,"No",2.91700005531311
"575",57404,2007,"No",4.91699981689453
"576",57404,2020,"No",5.08300018310547
"577",57404,2013,"No",10.8330001831055
"578",57404,2016,"Yes",1.16700005531311
"579",57404,2008,"No",6.08300018310547
"580",57404,2004,"Yes",1.75
"581",57404,2011,"No",9
"582",57404,2006,"Yes",4
"583",57404,2001,"Yes",1.41700005531311
"584",61602,2019,"No",NA
"585",61602,2002,"Yes",3.75
"586",61602,2010,"No",11.8330001831055
"587",61602,2014,"Yes",3.41700005531311
"588",61602,2012,"Yes",1.5
"589",61602,2009,"No",11
"590",61602,2015,"Yes",4.41699981689453
"591",61602,2017,"No",6.41699981689453
"592",61602,2003,"Yes",4.75
"593",61602,2005,"No",6.83300018310547
"594",61602,2007,"No",8.91699981689453
"595",61602,2013,"Yes",2.58299994468689
"596",61602,2016,"No",5.41699981689453
"597",61602,2008,"No",9.83300018310547
"598",61602,2004,"Yes",5.75
"599",61602,2011,"Yes",0.416999995708466
"600",61602,2006,"No",7.83300018310547
"601",61602,2001,"Yes",2.75
"602",61801,2002,"No",NA
"603",61801,2010,"No",27.5
"604",61801,2014,"No",31.5
"605",61801,2012,"Yes",29.6669998168945
"606",61801,2009,"Yes",26.6669998168945
"607",61801,2015,"No",32.5830001831055
"608",61801,2003,"Yes",20.4169998168945
"609",61801,2005,"No",22.5
"610",61801,2007,"No",24.6669998168945
"611",61801,2013,"No",30.5830001831055
"612",61801,2008,"Yes",25.5830001831055
"613",61801,2004,"Yes",21.3330001831055
"614",61801,2011,"No",28.4169998168945
"615",61801,2006,"Yes",23.5
"616",61801,2001,"Yes",18.75
"617",62401,2019,"No",NA
"618",62401,2002,"Yes",11.3330001831055
"619",62401,2010,"No",19.5
"620",62401,2014,"No",23.4169998168945
"621",62401,2012,"Yes",21.4169998168945
"622",62401,2009,"Yes",18.5
"623",62401,2015,"No",24.4169998168945
"624",62401,2017,"No",26.4169998168945
"625",62401,2003,"Yes",12.4169998168945
"626",62401,2005,"No",14.5
"627",62401,2007,"No",16.5
"628",62401,2020,"No",29.4169998168945
"629",62401,2013,"Yes",22.4169998168945
"630",62401,2016,"No",25.4169998168945
"631",62401,2008,"Yes",17.5830001831055
"632",62401,2004,"Yes",13.3330001831055
"633",62401,2011,"No",20.5830001831055
"634",62401,2006,"Yes",15.5
"635",62401,2001,"Yes",10.3330001831055
"636",63901,2002,"No",NA
"637",63901,2001,"Yes",30.3330001831055
"638",65601,2002,"Yes",NA
"639",65601,2003,"No",11.5
"640",65601,2005,"No",13.4169998168945
"641",65601,2004,"Yes",12.3330001831055
"642",65601,2006,"No",14.4169998168945
"643",65601,2001,"Yes",9.58300018310547
"644",65602,2019,"No",NA
"645",65602,2002,"Yes",13
"646",65602,2010,"No",21.1669998168945
"647",65602,2014,"No",25.0830001831055
"648",65602,2012,"Yes",23.0830001831055
"649",65602,2009,"Yes",20.1669998168945
"650",65602,2015,"No",26.0830001831055
"651",65602,2017,"No",28.0830001831055
"652",65602,2003,"Yes",14
"653",65602,2005,"No",16.0830001831055
"654",65602,2007,"No",18
"655",65602,2020,"No",31.0830001831055
"656",65602,2013,"Yes",24.0830001831055
"657",65602,2016,"No",27.0830001831055
"658",65602,2008,"Yes",19.1669998168945
"659",65602,2004,"Yes",15
"660",65602,2011,"No",22.1669998168945
"661",65602,2006,"Yes",17.0830001831055
"662",65602,2001,"Yes",11.9169998168945
"663",66702,2002,"No",NA
"664",66702,2010,"No",31.5
"665",66702,2014,"No",35.6669998168945
"666",66702,2012,"Yes",33.5
"667",66702,2009,"Yes",30.5
"668",66702,2015,"No",36.6669998168945
"669",66702,2017,"No",38.5830001831055
"670",66702,2003,"Yes",24.5
"671",66702,2005,"No",26.5
"672",66702,2007,"No",28.5830001831055
"673",66702,2013,"No",34.5830001831055
"674",66702,2016,"No",37.75
"675",66702,2008,"Yes",29.5
"676",66702,2004,"Yes",25.5
"677",66702,2011,"No",32.9169998168945
"678",66702,2006,"Yes",27.5
"679",66702,2001,"Yes",22.5
"680",66903,2019,"No",NA
"681",66903,2002,"Yes",16.5830001831055
"682",66903,2010,"No",24.1669998168945
"683",66903,2014,"No",28.25
"684",66903,2012,"Yes",26.0830001831055
"685",66903,2009,"Yes",23.0830001831055
"686",66903,2015,"No",29.1669998168945
"687",66903,2017,"No",31.4169998168945
"688",66903,2003,"Yes",17.5830001831055
"689",66903,2005,"No",19.5830001831055
"690",66903,2007,"No",21.5
"691",66903,2020,"No",34.0830001831055
"692",66903,2013,"Yes",27.0830001831055
"693",66903,2016,"No",30.3330001831055
"694",66903,2008,"Yes",22.1669998168945
"695",66903,2004,"Yes",18.5830001831055
"696",66903,2011,"No",25.1669998168945
"697",66903,2006,"Yes",20.6669998168945
"698",66903,2001,"Yes",15.5
"699",68501,2019,"No",NA
"700",68501,2002,"Yes",1.91700005531311
"701",68501,2010,"No",10
"702",68501,2014,"No",14
"703",68501,2012,"Yes",11.9169998168945
"704",68501,2009,"Yes",8.91699981689453
"705",68501,2015,"No",15
"706",68501,2017,"No",17
"707",68501,2003,"Yes",2.83299994468689
"708",68501,2005,"No",4.91699981689453
"709",68501,2007,"No",6.91699981689453
"710",68501,2013,"No",13
"711",68501,2016,"No",16.0830001831055
"712",68501,2008,"Yes",8
"713",68501,2004,"Yes",3.83299994468689
"714",68501,2011,"No",11
"715",68501,2006,"Yes",5.91699981689453
"716",68501,2001,"Yes",0.916999995708466
"717",72001,2002,"No",NA
"718",72001,2010,"No",35.25
"719",72001,2014,"No",39.0830001831055
"720",72001,2012,"Yes",37.0830001831055
"721",72001,2009,"Yes",34.25
"722",72001,2015,"No",40.1669998168945
"723",72001,2017,"No",42.1669998168945
"724",72001,2003,"Yes",28.0830001831055
