"DistributionChannel","Duration (in seconds)","EndDate","Finished","Progress","Q5","Q8_1","Q8_2","Q8_3","Q8_4","Q12_1","Q12_2","Q12_3","Q12_4","Q13","Q15_1","Q15_2","Q15_3","Q15_4","Q16...17","Q16...30","Q18","Q18_1","Q18_2","Q18_3","Q18_4","Q19...24","Q19...29","Q20","Q21...11","Q21...12","RecordedDate","ResponseId","StartDate","Status","UserLanguage"
"anonymous","210","2022-12-13 22:15:04","True","100","Not familiar at all","2","5","2","2","2","3","2","5","Not familiar at all","2","1","5","5","Traditional","Not familiar at all","No","5","2","2","2","Not familiar at all","Classic","No","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5e1217864c81b289d5bc13b3","2022-12-13 22:15:04","R_2nNF682BGudgbEl","2022-12-13 22:11:33","IP Address","EN"
"anonymous","161","2022-12-13 22:15:19","True","100","Not familiar at all","1","6","1","1","1","2","1","6","Moderately familiar","5","3","4","2","The say they described the cooking process","Slightly familiar",NA,"6","1","1","1","Slightly familiar",NA,NA,"I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5d98ac3e4b74d40016e96159","2022-12-13 22:15:19","R_3lEUq8ZaLvkTqz6","2022-12-13 22:12:37","IP Address","EN"
"anonymous","332","2022-12-13 22:15:47","True","100","Not familiar at all","2","5","3","2","3","4","2","4","Slightly familiar","2","2","5","2","Slow-cooked; Iraqi-style onion dolma Mahsi","Slightly familiar","formed into balls and fried","5","2","2","2","Not familiar at all","An age-old Spanish-Cuban peasant dish, traditional classic and favorite of Cubans everywhere.","Dosa made with Rice, Daal (lentil flour)","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","62adc4f5fb6abc773729c033","2022-12-13 22:15:48","R_32K0xWqnIOkpMeh","2022-12-13 22:10:15","IP Address","EN"
"anonymous","416","2022-12-13 22:17:22","True","100","Moderately familiar","1","6","2","2","5","3","2","3","Very familiar","2","2","6","1","Iraqi, mahshi, traditional","Slightly familiar","Falafel, kafta, baklava, tahini, tzatziki","6","3","3","3","Slightly familiar","Pescado al Ajillo con Camarones, Empanada de Guyaba con Queso, Abuelita Ninfa","Masala dosa, daal, go-ji","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5e71556788152e079f80b73b","2022-12-13 22:17:23","R_2fjiNCSZs68HRYk","2022-12-13 22:10:26","IP Address","EN"
"anonymous","328","2022-12-13 22:19:09","True","100","Moderately familiar","1","5","2","2","2","2","1","5","Very familiar","2","3","5","2","Iraqi-style and any foreign sounding word adds to its authenticity, traditional","Moderately familiar","Foreign words make the dishes sound different and interesting","4","2","3","3","Slightly familiar","Peasant dish, and Spanish words","The foreign words to help make the dishes feel exotic and different","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","610024e959ce4d541092bf1d","2022-12-13 22:19:09","R_51QJE99p8Plxy6t","2022-12-13 22:13:41","IP Address","EN"
"anonymous","319","2022-12-13 22:20:35","True","100","Moderately familiar","3","5","2","2","2","2","1","4","Slightly familiar","3","2","5","3","the use of ""Iraqi stew"" and ""traditional middle eastern cheese"" - I think most places that make genuine food from a specific culture or country don't specify that culture or country within the menu","Not familiar at all","""toum"" (not sure what that is) - plus the general simplicity, no over-explaining","3","5","4","5","Moderately familiar","""traditional"" ""Abuelita Ninfa's classic recipe""","""yogurt sauce"" ""pita bread"" (repetitive) ""salad fixings""","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","6125cb80fe0f9614d5014951","2022-12-13 22:20:35","R_2thfUuEqW2xIUcc","2022-12-13 22:15:16","IP Address","EN"
"anonymous","283","2022-12-13 22:25:15","True","100","Not familiar at all","1","4","1","1","1","1","2","5","Not familiar at all","1","1","5","2","The names","Not familiar at all","Baklavah","6","1","1","1","Not familiar at all","The name","Go-ji","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5f9c9e203d44de174d8f4f6c","2022-12-13 22:25:15","R_3suo9J0yCDkPWqm","2022-12-13 22:20:31","IP Address","EN"
"anonymous","258","2022-12-13 22:25:31","True","100","Not familiar at all","3","5","2","1","1","2","1","6","Slightly familiar","1","1","6","1","""Khema"" in quotes makes me feel like there was some sort of variation that isn't traditional, otherwise why the quotes?","Not familiar at all","No","6","1","5","2","Not familiar at all","""featuring Abuelita Ninfa's classic recipe"" makes me feel like it's genuine.","Gluten and wheat free means it's probably not the traditional way of cooking it.","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5dd61dcccaee3e5c8b9141cf","2022-12-13 22:25:32","R_3GozLi2fSQP0Luk","2022-12-13 22:21:13","IP Address","EN"
"anonymous","979","2022-12-13 22:25:49","True","100","Slightly familiar","1","6","1","1","1","1","1","6","Moderately familiar","1","1","6","1","They’re just descriptive","Extremely familiar","Good descriptions","6","1","1","3","Not familiar at all","Good descriptions","Not really","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","610b1a9f84ca0547e1342cef","2022-12-13 22:25:49","R_2X0eiASWDh5nq9n","2022-12-13 22:09:29","IP Address","EN"
"anonymous","257","2022-12-13 22:26:05","True","100","Not familiar at all","1","5","1","1","5","5","5","1","Slightly familiar","1","1","6","1","traditional","Not familiar at all",NA,"3","4","4","4","Slightly familiar","Classic and Traditional",NA,"I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5af170135847970001e3409a","2022-12-13 22:26:05","R_s6dx7H5SLcgwf8l","2022-12-13 22:21:47","IP Address","EN"
"anonymous","173","2022-12-13 22:27:14","True","100","Not familiar at all","4","4","3","2","3","2","4","4","Not familiar at all","2","3","4","4","warm","Slightly familiar",NA,"3","3","2","3","Slightly familiar","featuring",NA,"I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5f4d5f9f835880a2aca8b996","2022-12-13 22:27:15","R_1l62juF35EwE96E","2022-12-13 22:24:21","IP Address","EN"
"anonymous","291","2022-12-13 22:27:44","True","100","Not familiar at all","4","4","3","2","2","5","4","3","Slightly familiar","2","2","5","2","Iraqi-style and somehow it feels like a tv show","Slightly familiar","none","5","2","3","5","Slightly familiar","abuelita ninfa's","amazing either way! low fat","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","6109893072f9e51727969f65","2022-12-13 22:27:44","R_1riAV3fBMFenVmk","2022-12-13 22:22:53","IP Address","EN"
"anonymous","257","2022-12-13 22:28:16","True","100","Not familiar at all","1","6","1","1","4","3","5","1","Slightly familiar","1","2","4","2","Infused, soaked, sun-dried","Not familiar at all","Crispy, formed into balls, layered","6","1","2","2","Not familiar at all","'classic cuban combo', delicate pastry dough, rubbed with fresh garlic.","Delicious, stuffed, fixings","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5d5b00f42e3803001a8253b5","2022-12-13 22:28:16","R_1o4LAN70cCwdRD0","2022-12-13 22:23:58","IP Address","EN"
"anonymous","143","2022-12-13 22:30:06","True","100","Not familiar at all","2","5","2","2","2","2","2","5","Not familiar at all","2","2","5","2","kunafah, dolma","Not familiar at all","tzatziki, tahini","5","2","2","1","Not familiar at all","pescado, camarones","everest, mansala","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","62740a242f1f9493b90e351c","2022-12-13 22:30:06","R_3njHthGU1yWQ2FN","2022-12-13 22:27:43","IP Address","EN"
"anonymous","321","2022-12-13 22:31:01","True","100","Not familiar at all","2","5","2","1","2","2","1","6","Moderately familiar","2","2","6","1","No","Slightly familiar","No","6","2","1","1","Not familiar at all","No","No","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5ee19419a301131e862a5a06","2022-12-13 22:31:02","R_27lqR2y97Dw6N69","2022-12-13 22:25:40","IP Address","EN"
"anonymous","798","2022-12-13 22:31:05","True","100","Slightly familiar","1","6","1","2","1","2","1","6","Extremely familiar","1","1","6","1","special warm pastry of shredded wheat noodles soaked in sweet rose syrup and cooked with traditional middle eastern cheese topped with pistachios. Sounds genuine and something I would like.","Moderately familiar","I love Baklava. I have made the Kabobs before as a local resturant makes them and shared how to make them.","6","1","1","1","Very familiar","Fillet of red snapper and baby shrimp rubbed with fresh garlic, parsley and olive oil and sautéed in garlic mojo sauce. Served with white rice, avocado salad, and caribbean cole slaw. I want this rigt now.","Delicious pita bread filled with vegetable curry or chicken curry and salad fixings, cucumber, lettuce & tomato. Have had this.","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5df3f2c558a5c72d724a22ef","2022-12-13 22:31:05","R_1Lbsa4JoFGFnIJb","2022-12-13 22:17:47","IP Address","EN"
"anonymous","200","2022-12-13 22:31:13","True","100","Not familiar at all","2","5","2","2","4","3","3","4","Not familiar at all","2","3","5","4","traditional","Not familiar at all","no","5","3","3","3","Not familiar at all","no","no","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","62f6ff0fe96a1ece1bb0ddac","2022-12-13 22:31:13","R_21b1YOhzDGq1s7P","2022-12-13 22:27:53","IP Address","EN"
"anonymous","192","2022-12-13 22:32:07","True","100","Not familiar at all","2","5","2","2","2","2","2","5","Very familiar","2","2","5","2","just that they took time to describe each meal","Slightly familiar","tzatziki, garbanzo","5","2","2","2","Not familiar at all","Abuelita Ninfa's","""low fat"" ""gluten free"" etc.","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","60fdbe6a8c43af047091f925","2022-12-13 22:32:07","R_qFwnv4bQLoKWaHv","2022-12-13 22:28:54","IP Address","EN"
"anonymous","313","2022-12-13 22:32:16","True","100","Not familiar at all","2","5","2","2","2","2","3","5","Not familiar at all","2","2","4","2","Iraqi, the names of the foods themselves, dolma, Mahshi","Not familiar at all","n/a","5","2","2","3","Not familiar at all","The food names","The unique names, fenugreek which I've never heard of","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","593b8bd9332be10001f4d786","2022-12-13 22:32:17","R_2zBxr0bog8Rxc3C","2022-12-13 22:27:03","IP Address","EN"
"anonymous","579","2022-12-13 22:33:02","True","100","Not familiar at all","2","6","2","1","3","3","4","3","Slightly familiar","2","2","5","2","Yes - words that refer to specific regions and dishes specific to those regions' cultures (""Iraqi style, middle eastern, Mahshi, etc.)","Moderately familiar","Yes - terms such as ""tzatziki and toum,"" mixed in with brief generic descriptions of ingredients","4","4","3","3","Slightly familiar","Yes - terms written in Spanish, as well as terms referring to the region of Cuba","Yes. This menu does not stray too far from the wording that I would expect from a typical restaurant menu, but the restaurant does appear to be serving a somewhat specialized cuisine","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5b7aa12ea545240001d93c98","2022-12-13 22:33:03","R_3RfKv1ETzlF6laJ","2022-12-13 22:23:22","IP Address","EN"
"anonymous","312","2022-12-13 22:34:51","True","100","Slightly familiar","2","2","2","2","2","2","2","5","Slightly familiar","2","2","5","2","No","Moderately familiar","N/A","4","2","2","2","Not familiar at all","N/A","N/A","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","614fe903e5acda6e19a9bc39","2022-12-13 22:34:51","R_5okAd0CQAV42LvP","2022-12-13 22:29:38","IP Address","EN"
"anonymous","511","2022-12-13 22:34:53","True","100","Not familiar at all","1","6","1","1","1","1","1","6","Not familiar at all","4","1","6","1","Stew","Moderately familiar","ground beef","6","1","1","1","Not familiar at all","flan","chicken curry","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","63116efcd51b74f77be0cfbb","2022-12-13 22:34:53","R_sSTTV9mLcXypSWB","2022-12-13 22:26:21","IP Address","EN"
"anonymous","194","2022-12-13 22:34:55","True","100","Not familiar at all","3","5","3","2","3","3","2","4","Moderately familiar","3","3","5","2","pastry, sweet rose syrup","Slightly familiar","crispy phyllo dough","4","3","3","2","Slightly familiar","classic recipe","chicken curry","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","611727a1aa8e53ace53b257f","2022-12-13 22:34:55","R_2YP6p5m0Nx06W84","2022-12-13 22:31:41","IP Address","EN"
"anonymous","177","2022-12-13 22:35:15","True","100","Not familiar at all","2","6","5","4","2","5","5","2","Not familiar at all","4","3","3","3","infused","Slightly familiar","no","3","3","3","2","Moderately familiar","classic","Delicious","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5ef19661f64ab15627fdcf05","2022-12-13 22:35:16","R_1hKdi8bc0yuVHvo","2022-12-13 22:32:17","IP Address","EN"
"anonymous","192","2022-12-13 22:35:35","True","100","Slightly familiar","2","6","2","2","2","2","2","5","Very familiar","2","2","5","2","dolma, khema, iraqi, kunafah","Moderately familiar","tahini, kafta, toum, tzatziki, phyllo","5","3","2","2","Moderately familiar","mojo, caribbean, classic cuban combo, flan, traditional","gluten and wheat free, masala dosa, low fat, go-ji","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","57343061b0b6ee29e80d5adc","2022-12-13 22:35:36","R_3DnK1Dy0YhpzqiA","2022-12-13 22:32:23","IP Address","EN"
"anonymous","152","2022-12-13 22:35:40","True","100","Not familiar at all","3","5","4","3","3","4","4","2","Very familiar","3","3","4","3","Iraqi; traditional","Slightly familiar",NA,"5","3","4","3","Slightly familiar","Cuban",NA,"I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","6150a7aff22eb4723de2341a","2022-12-13 22:35:40","R_1F3CjMp3fVOUsB7","2022-12-13 22:33:07","IP Address","EN"
"anonymous","189","2022-12-13 22:35:47","True","100","Very familiar","2","5","2","2","2","2","2","5","Very familiar","2","3","5","2","stew, rose syrup, dolma","Moderately familiar","toum, tahini","5","5","5","5","Extremely familiar","Abuelita Ninfa, traditional","fixings, gluten and wheat free, onion sauce","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","60fd0adca696b6ceb4d32318","2022-12-13 22:35:47","R_Q07s1rGxTYF90ad","2022-12-13 22:32:37","IP Address","EN"
"anonymous","695","2022-12-13 22:35:53","True","100","Slightly familiar","1","6","1","1","2","2","2","5","Slightly familiar","4","3","4","3","Traditional.","Very familiar","Crispy","5","3","3","4","Moderately familiar","classic, traditional.","Delicious","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","578072b0c6144900014a0471","2022-12-13 22:35:53","R_2wMIPBGNpxgoFZe","2022-12-13 22:24:18","IP Address","EN"
"anonymous","699","2022-12-13 22:35:56","True","100","Not familiar at all","1","6","2","1","2","2","2","5","Moderately familiar","2","2","6","2","Traditional","Extremely familiar","Tahini,falafel, baklava","5","2","2","1","Not familiar at all","Flan, age-old, traditional, Camarones","Ingredients I'm unfamiliar with","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","55bb74f1fdf99b1519ef4762","2022-12-13 22:35:57","R_Xt9KPON6cRpF67f","2022-12-13 22:24:17","IP Address","EN"
"anonymous","136","2022-12-13 22:36:45","True","100","Moderately familiar","2","5","2","2","3","2","2","2","Very familiar","3","1","6","2","no","Slightly familiar","no","5","2","1","2","Not familiar at all","no","no","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","608b545dac4ff506d7f01f04","2022-12-13 22:36:45","R_1q9ugg4aKtbpIm8","2022-12-13 22:34:29","IP Address","EN"
"anonymous","404","2022-12-13 22:37:49","True","100","Not familiar at all","3","5","2","2","3","4","3","4","Not familiar at all","1","3","4","2","Warm shredded wheat noodles helped me pick what I know I wanted.","Not familiar at all","Ground beef mixed with parsley help me make my decision because I like ground beef.","6","3","2","1","Not familiar at all","Cuban combo helped because it sounds good.","Everest noodles helped me know what I wanted from this menu.","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","62d4abc05c64e581f78b1ade","2022-12-13 22:37:49","R_Z8LRIKlDCn32kJb","2022-12-13 22:31:04","IP Address","EN"
"anonymous","310","2022-12-13 22:38:24","True","100","Not familiar at all","2","5","2","2","1","3","2","5","Not familiar at all","2","2","5","2","Traditional, slow-cooked","Slightly familiar","Crispy.","4","1","1","3","Not familiar at all","Age-old, traditional classic","Gluten and wheat free. Delicious","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","60fd3cd100cfd3da1b3b9e11","2022-12-13 22:38:24","R_1IQ4axktVkmbOdX","2022-12-13 22:33:13","IP Address","EN"
"anonymous","183","2022-12-13 22:38:44","True","100","Not familiar at all","2","5","3","1","3","3","3","4","Moderately familiar","3","2","4","2","shredded, noodles, slow-cooked, traditional.","Moderately familiar","Garbanzo, Baklava, Kabobs, Falafel","5","2","3","1","Not familiar at all","Spanish-Cuban, Cuban","Dosa, Daal, fenugreek, everest","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5d91daf3704e790018f47229","2022-12-13 22:38:44","R_dmUSHB6GSLp4wAV","2022-12-13 22:35:40","IP Address","EN"
"anonymous","128","2022-12-13 22:39:07","True","100","Not familiar at all","1","6","4","2","3","4","3","4","Slightly familiar","1","2","5","2","Nothing in particular","Not familiar at all","No","5","1","3","2","Not familiar at all","No","No","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5d9a90db9fcbb7032d1bbe62","2022-12-13 22:39:07","R_10oMfwxFrkwWPAL","2022-12-13 22:36:58","IP Address","EN"
"anonymous","305","2022-12-13 22:39:10","True","100","Not familiar at all","2","3","3","3","1","3","2","3","Very familiar","6","4","4","5","Traditional","Not familiar at all","tahini","5","3","2","4","Moderately familiar","The classic, aged old and traditional","Gluten and wheat free","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","606f72e12213160224d9ff25@email.prolific.co","2022-12-13 22:39:11","R_3NvMWpESQIl2hvk","2022-12-13 22:34:05","IP Address","EN"
"anonymous","435","2022-12-13 22:39:46","True","100","Not familiar at all","4","5","4","4","2","4","3","4","Moderately familiar","3","3","3","3","I looked at the ingredients that are used in the menu, and I think that helped me a bit, but I'm not quite sure.","Not familiar at all","I mainly had to guess with what I know about the foods in the menu.","5","2","2","2","Moderately familiar","I had to read the description and answer with the best instinct I could get from reading it.","The menu looks like an Indian restaurant style, so since I am familiar with that cusine a bit more, I could make my selections that way.","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","610cd0b96470d70ab18955fa","2022-12-13 22:39:46","R_2pSH7SUZSO9jgWi","2022-12-13 22:32:31","IP Address","EN"
"anonymous","1273","2022-12-13 22:40:28","True","100","Moderately familiar","1","6","1","1","1","2","1","6","Very familiar","1","1","6","1","traditional, Iraqi, slow-cooked","Slightly familiar","n/a","6","3","2","3","Moderately familiar","classic recipe, classic Cuban combo, peasant dish, age-old","low fat, gluten and wheat free","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5e83897a1266ae0c80f544ca","2022-12-13 22:40:28","R_10UlbgcO15WTOqM","2022-12-13 22:19:14","IP Address","EN"
"anonymous","294","2022-12-13 22:41:04","True","100","Not familiar at all","1","5","1","2","2","4","3","2","Moderately familiar","2","1","6","1","perfect traditional Iraqi stew, traditional middle eastern","Slightly familiar","No, the language was plain.","4","2","2","3","Slightly familiar","age-old Spanish-Cuban peasant dish, traditional classic and favorite of Cubans","Gluten and wheat free, Amazing","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","62f8b410d6f862caef45f2ff","2022-12-13 22:41:04","R_1GTHbzaWO3tsjbg","2022-12-13 22:36:09","IP Address","EN"
"anonymous","235","2022-12-13 22:41:20","True","100","Slightly familiar","2","5","2","2","2","4","3","3","Moderately familiar","2","2","5","5","Not that I’m aware of","Moderately familiar","No","6","2","2","5","Moderately familiar","Not to my knowledge","Not consciously","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5f4af662edeb8515330d6405","2022-12-13 22:41:20","R_33rkAxZJDRC3yFQ","2022-12-13 22:37:24","IP Address","EN"
"anonymous","1352","2022-12-13 22:41:43","True","100","Slightly familiar","2","5","2","1","3","3","4","2","Very familiar","1","2","6","1","traditional, infused","Slightly familiar","no","5","4","2","2","Moderately familiar","traditional, classic, peasant dish","gluten and wheat free","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5c6fb7c3c114eb00018b3154","2022-12-13 22:41:44","R_3rNuLynM7FoFBRL","2022-12-13 22:19:11","IP Address","EN"
"anonymous","404","2022-12-13 22:42:12","True","100","Not familiar at all","2","1","3","1","2","6","2","4","Moderately familiar","3","2","5","3","lamb, rice","Very familiar","Beef, Tzatziki","3","3","3","3","Moderately familiar","flan, queso, pescado","noodles, broccoli, zucchini","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","6111ad293303b180dfcf01df","2022-12-13 22:42:13","R_3lt95NRgaQDdRDj","2022-12-13 22:35:28","IP Address","EN"
"anonymous","406","2022-12-13 22:42:16","True","100","Not familiar at all","2","5","2","1","4","2","4","2","Moderately familiar","2","2","5","1",NA,"Very familiar",NA,"5","2","2","2","Slightly familiar","Guyaba is misspelled and should be guayaba.",NA,"I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","60fd0309d2f8abd64d948a66","2022-12-13 22:42:16","R_2S8ZFcUYdDDHYkV","2022-12-13 22:35:29","IP Address","EN"
"anonymous","508","2022-12-13 22:42:36","True","100","Slightly familiar","2","5","2","1","3","5","3","5","Slightly familiar","2","2","5","3","Dolma, kunafah, khema","Slightly familiar","Dish names","4","3","4","2","Not familiar at all","None. I'm unsure","None specific. The use of very generic ingredients in general","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","5be723d67514d000010863f9","2022-12-13 22:42:37","R_1pySdYNPS1Ovvi5","2022-12-13 22:34:07","IP Address","EN"
"anonymous","368","2022-12-13 22:43:27","True","100","Not familiar at all","2","4","3","2","4","3","3","3","Not familiar at all","3","3","5","2","Iraqi-style, tradition Iraqi stew, Khema, Kunafah","Slightly familiar",NA,"4","4","3","3","Slightly familiar","Age-old, classic","No","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","60d5aea939b90bd4fbdc4251","2022-12-13 22:43:27","R_3dTpt5IuucU2X4J","2022-12-13 22:37:18","IP Address","EN"
"anonymous","360","2022-12-13 22:43:58","True","100","Not familiar at all","2","5","3","2","4","2","2","5","Moderately familiar","2","2","5","2","Iraqi style, traditional middle eastern","Not familiar at all","straight forward description of each meal's ingredients","5","2","5","2","Moderately familiar","classic/traditional Cuban","very descriptive of the ingredients included","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","56997f9e25d9e9000cb09455","2022-12-13 22:43:59","R_333ecVyRN9MVgyd","2022-12-13 22:37:57","IP Address","EN"
"anonymous","536","2022-12-13 22:44:13","True","100","Slightly familiar","1","6","2","2","1","1","1","6","Moderately familiar","2","2","5","1","Dolma, lamb, chickpeas, pomegranate","Moderately familiar","Falafel, tahini, kafta, baklava","6","2","2","1","Slightly familiar","Guyaba, camarones, empanada, flan, queso","Masala, dosa, fenugreek, pita, curry","I certify that I am 18 years of age or older and voluntarily consent to participate in this study.","6150ea0af545fdfbb4b6e25f","2022-12-13 22:44:13","R_2UVBQgfXvkpyIJD","2022-12-13 22:35:16","IP Address","EN"
